num,scenario,kt,vbus,ktInception,vbusInception,ktDuration,vbusDuration,ktSeverity,vbusSeverity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,6.0
30,1.0,1.0,0.0,53.0,53.0,2.0,2.0,0.0275,6.0
31,1.0,1.0,1.0,14.0,14.0,12.0,12.0,0.0284,7.0
32,1.0,1.0,1.0,32.0,32.0,19.0,19.0,0.0275,5.5
33,1.0,0.0,1.0,25.0,25.0,24.0,24.0,0.029,4.0
34,1.0,1.0,0.0,5.0,5.0,9.0,9.0,0.027,6.0
35,1.0,0.0,1.0,24.0,24.0,5.0,5.0,0.029,6.75
36,1.0,1.0,0.0,27.0,27.0,25.0,25.0,0.0284,6.0
37,1.0,1.0,0.0,20.0,20.0,31.0,31.0,0.0277,6.0
38,1.0,1.0,0.0,41.0,41.0,8.0,8.0,0.0298,6.0
39,1.0,1.0,0.0,36.0,36.0,14.0,14.0,0.0274,6.0
40,1.0,0.0,1.0,21.0,21.0,10.0,10.0,0.029,7.75
41,1.0,0.0,1.0,10.0,10.0,26.0,26.0,0.029,4.0
42,1.0,1.0,0.0,31.0,31.0,11.0,11.0,0.0309,6.0
43,1.0,1.0,1.0,49.0,49.0,2.0,2.0,0.0292,4.0
44,1.0,0.0,1.0,30.0,30.0,22.0,22.0,0.029,4.75
45,1.0,0.0,1.0,32.0,32.0,23.0,23.0,0.029,5.25
46,1.0,0.0,1.0,27.0,27.0,20.0,20.0,0.029,6.0
47,1.0,1.0,1.0,16.0,16.0,32.0,32.0,0.0284,5.5
48,1.0,1.0,0.0,40.0,40.0,10.0,10.0,0.0303,6.0
49,1.0,1.0,1.0,21.0,21.0,15.0,15.0,0.0274,6.5
50,1.0,1.0,0.0,7.0,7.0,3.0,3.0,0.0297,6.0
51,1.0,1.0,0.0,10.0,10.0,9.0,9.0,0.0303,6.0
52,1.0,0.0,1.0,40.0,40.0,4.0,4.0,0.029,6.25
53,1.0,1.0,1.0,7.0,7.0,24.0,24.0,0.03,5.25
54,1.0,1.0,0.0,11.0,11.0,10.0,10.0,0.0291,6.0
55,1.0,0.0,1.0,21.0,21.0,25.0,25.0,0.029,4.0
56,1.0,0.0,1.0,8.0,8.0,1.0,1.0,0.029,6.5
57,1.0,1.0,0.0,16.0,16.0,2.0,2.0,0.0289,6.0
58,1.0,1.0,0.0,37.0,37.0,4.0,4.0,0.0298,6.0
59,1.0,1.0,1.0,33.0,33.0,10.0,10.0,0.0276,6.25
60,2.0,0.0,1.0,27.0,27.0,19.0,19.0,0.029,4.5
61,2.0,1.0,1.0,19.0,19.0,12.0,12.0,0.0302,4.5
62,2.0,0.0,1.0,23.0,23.0,26.0,26.0,0.029,7.25
63,2.0,0.0,1.0,12.0,12.0,34.0,34.0,0.029,6.0
64,2.0,1.0,1.0,45.0,45.0,5.0,5.0,0.0289,7.75
65,2.0,1.0,1.0,48.0,48.0,3.0,3.0,0.0282,4.0
66,2.0,0.0,1.0,52.0,52.0,2.0,2.0,0.029,7.5
67,2.0,1.0,1.0,7.0,7.0,11.0,11.0,0.0289,4.25
68,2.0,1.0,1.0,26.0,26.0,6.0,6.0,0.0306,6.0
69,2.0,1.0,0.0,7.0,7.0,21.0,21.0,0.0291,6.0
70,2.0,0.0,1.0,8.0,8.0,14.0,14.0,0.029,5.75
71,2.0,0.0,1.0,21.0,21.0,25.0,25.0,0.029,7.25
72,2.0,0.0,1.0,6.0,6.0,40.0,40.0,0.029,6.75
73,2.0,0.0,1.0,6.0,6.0,5.0,5.0,0.029,5.5
74,2.0,1.0,1.0,9.0,9.0,21.0,21.0,0.0278,6.75
75,2.0,0.0,1.0,19.0,19.0,16.0,16.0,0.029,8.0
76,2.0,0.0,1.0,43.0,43.0,5.0,5.0,0.029,5.0
77,2.0,1.0,1.0,20.0,20.0,23.0,23.0,0.0282,6.75
